entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,posted_at,credit_type,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
pay_DEMO_1,payment,0,898288,920000,INR,18400,3312,false,true,1788256800,1788429600,setl_DEMO_1,,default,Payment from Aditi Kulkarni for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0001,order_DEMO_001,,upi,,,,
pay_DEMO_2,payment,0,683480,700000,INR,14000,2520,false,true,1788258600,1788431400,setl_DEMO_1,,default,Payment from Rohan Mehta for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0001,order_DEMO_002,,upi,,,,
pay_DEMO_3,payment,0,1249792,1280000,INR,25600,4608,false,true,1788260400,1788433200,setl_DEMO_1,,default,Payment from Sneha Iyer for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0001,order_DEMO_003,,upi,,,,
pay_DEMO_4,payment,0,995928,1020000,INR,20400,3672,false,true,1788262200,1788435000,setl_DEMO_1,,default,Payment from Vivek Shah for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0001,order_DEMO_004,,upi,,,,
pay_DEMO_5,payment,0,292920,300000,INR,6000,1080,false,true,1788264000,1788436800,setl_DEMO_1,,default,Payment from Neha Nair for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0001,order_DEMO_005,,upi,,,,
pay_DEMO_6,payment,0,790884,810000,INR,16200,2916,false,true,1788265800,1788438600,setl_DEMO_1,,default,Payment from Arjun Menon for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0001,order_DEMO_006,,upi,,,,
pay_DEMO_7,payment,0,429616,440000,INR,8800,1584,false,true,1788267600,1788440400,setl_DEMO_1,,default,Payment from Priya Deshmukh for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0001,order_DEMO_007,,upi,,,,
pay_DEMO_8,payment,0,927580,950000,INR,19000,3420,false,true,1788269400,1788442200,setl_DEMO_1,,default,Payment from Karan Bhatia for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0001,order_DEMO_008,,upi,,,,
pay_DEMO_9,payment,0,1269320,1300000,INR,26000,4680,false,true,1788271200,1788444000,setl_DEMO_1,,default,Payment from Meera Joshi for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0001,order_DEMO_009,,upi,,,,
pay_DEMO_10,payment,0,712772,730000,INR,14600,2628,false,true,1788273000,1788445800,setl_DEMO_1,,default,Payment from Siddharth Rao for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0001,order_DEMO_010,,upi,,,,
pay_DEMO_11,payment,0,400324,410000,INR,8200,1476,false,true,1788274800,1788447600,setl_DEMO_1,,default,Payment from Ananya Kapoor for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0001,order_DEMO_011,,upi,,,,
pay_DEMO_12,payment,0,1288848,1320000,INR,26400,4752,false,true,1788276600,1788449400,setl_DEMO_1,,default,Payment from Rahul Verma for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0001,order_DEMO_012,,upi,,,,
pay_DEMO_13,payment,0,1103332,1130000,INR,22600,4068,false,true,1788278400,1788451200,setl_DEMO_1,,default,Payment from Ishita Patil for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0001,order_DEMO_013,,upi,,,,
pay_DEMO_14,payment,0,478436,490000,INR,9800,1764,false,true,1788280200,1788453000,setl_DEMO_1,,default,Payment from Manish Gupta for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0001,order_DEMO_014,,upi,,,,
pay_DEMO_15,payment,0,322212,330000,INR,6600,1188,false,true,1788282000,1788454800,setl_DEMO_1,,default,Payment from Kavya Reddy for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0001,order_DEMO_015,,upi,,,,
pay_DEMO_16,payment,0,751828,770000,INR,15400,2772,false,true,1788283800,1788456600,setl_DEMO_1,,default,Payment from Nikhil Jain for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0001,order_DEMO_016,,upi,,,,
pay_DEMO_17,payment,0,1015456,1040000,INR,20800,3744,false,true,1788285600,1788458400,setl_DEMO_1,,default,Payment from Aditi Kulkarni for Nila Home & Kitchen,Inventory partner: Urban Loom Supply Co.; Pune fulfilment,,HDFCDEMO0001,order_DEMO_017,,upi,,,,
pay_DEMO_18,payment,0,908052,930000,INR,18600,3348,false,true,1788287400,1788460200,setl_DEMO_1,,default,Payment from Rohan Mehta for Nila Home & Kitchen,Inventory partner: Konkan Kitchenware Traders; Pune fulfilment,,HDFCDEMO0001,order_DEMO_018,,upi,,,,
pay_DEMO_19,payment,0,48820,50000,INR,1000,180,false,true,1788289200,1788462000,setl_DEMO_1,,default,Payment from Sneha Iyer for Nila Home & Kitchen,Inventory partner: Mango Leaf Home Goods; Pune fulfilment,,HDFCDEMO0001,order_DEMO_019,,upi,,,,
pay_DEMO_20,payment,0,712772,730000,INR,14600,2628,false,true,1788291000,1788463800,setl_DEMO_1,,default,Payment from Vivek Shah for Nila Home & Kitchen,Inventory partner: Deccan Storage Works; Pune fulfilment,,HDFCDEMO0001,order_DEMO_020,,upi,,,,
