order_id,customer_ref,vendor_name,gross_amount,status,created_at
order_DEMO_001,Aditi Kulkarni,Urban Loom Supply Co.,920000,paid,1788256800
order_DEMO_002,Rohan Mehta,Konkan Kitchenware Traders,700000,paid,1788258600
order_DEMO_003,Sneha Iyer,Mango Leaf Home Goods,1280000,paid,1788260400
order_DEMO_004,Vivek Shah,Deccan Storage Works,1020000,paid,1788262200
order_DEMO_005,Neha Nair,Urban Loom Supply Co.,300000,paid,1788264000
order_DEMO_006,Arjun Menon,Konkan Kitchenware Traders,810000,paid,1788265800
order_DEMO_007,Priya Deshmukh,Mango Leaf Home Goods,440000,paid,1788267600
order_DEMO_008,Karan Bhatia,Deccan Storage Works,950000,paid,1788269400
order_DEMO_009,Meera Joshi,Urban Loom Supply Co.,1300000,paid,1788271200
order_DEMO_010,Siddharth Rao,Konkan Kitchenware Traders,730000,paid,1788273000
order_DEMO_011,Ananya Kapoor,Mango Leaf Home Goods,410000,paid,1788274800
order_DEMO_012,Rahul Verma,Deccan Storage Works,1320000,paid,1788276600
order_DEMO_013,Ishita Patil,Urban Loom Supply Co.,1130000,paid,1788278400
order_DEMO_014,Manish Gupta,Konkan Kitchenware Traders,490000,paid,1788280200
order_DEMO_015,Kavya Reddy,Mango Leaf Home Goods,330000,paid,1788282000
order_DEMO_016,Nikhil Jain,Deccan Storage Works,770000,paid,1788283800
order_DEMO_017,Aditi Kulkarni,Urban Loom Supply Co.,1040000,paid,1788285600
order_DEMO_018,Rohan Mehta,Konkan Kitchenware Traders,930000,paid,1788287400
order_DEMO_019,Sneha Iyer,Mango Leaf Home Goods,50000,paid,1788289200
order_DEMO_020,Vivek Shah,Deccan Storage Works,730000,paid,1788291000
order_DEMO_021,Neha Nair,Urban Loom Supply Co.,1260000,paid,1788292800
order_DEMO_022,Arjun Menon,Konkan Kitchenware Traders,120000,paid,1788294600
order_DEMO_023,Priya Deshmukh,Mango Leaf Home Goods,900000,paid,1788296400
order_DEMO_024,Karan Bhatia,Deccan Storage Works,90000,paid,1788298200
order_DEMO_025,Meera Joshi,Urban Loom Supply Co.,430000,paid,1788300000
order_DEMO_026,Siddharth Rao,Konkan Kitchenware Traders,130000,paid,1788301800
order_DEMO_027,Ananya Kapoor,Mango Leaf Home Goods,310000,paid,1788303600
order_DEMO_028,Rahul Verma,Deccan Storage Works,1180000,paid,1788305400
order_DEMO_029,Ishita Patil,Urban Loom Supply Co.,810000,paid,1788307200
order_DEMO_030,Manish Gupta,Konkan Kitchenware Traders,80000,paid,1788309000
order_DEMO_031,Kavya Reddy,Mango Leaf Home Goods,300000,paid,1788310800
order_DEMO_032,Nikhil Jain,Deccan Storage Works,1270000,paid,1788312600
order_DEMO_033,Aditi Kulkarni,Urban Loom Supply Co.,750000,paid,1788314400
order_DEMO_034,Rohan Mehta,Konkan Kitchenware Traders,1220000,paid,1788316200
order_DEMO_035,Sneha Iyer,Mango Leaf Home Goods,510000,paid,1788318000
order_DEMO_036,Vivek Shah,Deccan Storage Works,700000,paid,1788319800
order_DEMO_037,Neha Nair,Urban Loom Supply Co.,100000,paid,1788321600
order_DEMO_038,Arjun Menon,Konkan Kitchenware Traders,120000,paid,1788323400
order_DEMO_039,Priya Deshmukh,Mango Leaf Home Goods,850000,paid,1788325200
order_DEMO_040,Karan Bhatia,Deccan Storage Works,910000,paid,1788327000
order_DEMO_041,Meera Joshi,Urban Loom Supply Co.,400000,paid,1788328800
order_DEMO_042,Siddharth Rao,Konkan Kitchenware Traders,980000,paid,1788330600
order_DEMO_043,Ananya Kapoor,Mango Leaf Home Goods,350000,paid,1788332400
order_DEMO_044,Rahul Verma,Deccan Storage Works,490000,paid,1788334200
